rt_true,da_true,load_true,rt_pred,da_pred,load_pred
89.15,98.0,4785.2812,211.8661,158.2361,4822.9598
103.19,98.0,4816.7041,126.4802,163.3967,4847.1811
388.9,98.0,4791.3022,207.4021,140.8259,4697.9158
91.41,98.0,4775.9033,193.3412,146.0229,4697.368
110.95,98.0,4766.5283,285.6368,155.2908,4928.2407
117.9,98.0,4748.9385,215.1849,191.3784,4745.2099
104.27,98.0,4726.4819,198.9673,176.5927,4820.1076
110.08,98.0,4725.3354,228.5091,216.6118,4849.9727
104.13,98.0,4708.3818,216.5201,186.5172,4848.2017
103.03,98.0,4708.9165,186.1237,222.5199,4847.6981
87.15,87.28,4652.8721,375.0501,151.3677,4900.7282
87.17,87.28,4652.4229,265.0243,217.9242,4845.3465
87.54,87.28,4646.6328,315.9289,204.9301,4895.3181
87.05,87.28,4668.6504,312.3016,188.9221,5011.447
87.11,87.28,4664.6714,357.3001,183.8836,5036.2589
87.55,87.28,4608.7856,252.2951,210.36,4930.4809
134.89,87.28,4627.1514,257.165,197.5339,4997.7902
108.59,87.28,4598.6094,250.3273,261.9887,5065.5225
86.25,87.28,4579.4746,219.5814,122.7143,4776.753
86.16,87.28,4538.9546,181.1239,132.6338,4855.6421
86.07,87.28,4553.2119,265.3007,132.7468,4830.0446
84.22,87.28,4549.9873,284.6715,216.017,4820.8396
82.34,83.68,4492.6216,197.0005,176.689,4825.9627
105.87,83.68,4424.0552,144.2849,216.9649,4834.7749
83.03,83.68,4425.3774,222.6932,150.7817,4908.0352
83.03,83.68,4405.9414,215.1805,201.8639,4932.4783
82.24,83.68,4356.6333,225.8768,215.8397,4934.409
80.94,83.68,4340.8457,188.8629,227.9724,5035.9766
80.88,83.68,4309.3613,215.3557,176.7485,5086.0873
79.9,83.68,4280.8525,216.2479,200.6012,4988.9156
82.12,83.68,4244.2979,200.2935,61.9559,4804.0502
79.59,83.68,4206.5283,132.3995,117.8933,4852.9694
79.55,83.68,4190.0176,202.7862,57.3955,4838.7052
79.35,83.68,4163.917,137.1538,71.052,4869.8232
48.52,79.54,4121.5068,138.58,114.8806,4867.3122
47.36,79.54,4101.6001,148.0154,175.3769,5048.42
42.85,79.54,4047.5149,163.9963,154.4893,4919.8964
43.06,79.54,4013.4849,118.6801,159.1875,4967.2075
43.35,79.54,3979.9683,144.9787,165.2721,4989.1488
38.9,79.54,3940.6975,184.4644,152.0076,4974.4043
37.34,79.54,3898.8145,153.7822,120.1428,4833.1758
36.51,79.54,3888.1289,189.1774,132.8584,4845.7586
36.44,79.54,3829.1946,249.5949,61.0365,4725.9898
36.64,79.54,3811.229,221.6372,89.0747,4607.7083
