rt_true,da_true,load_true,rt_pred,da_pred,load_pred
33.64,36.67,2644.4634,20.9228,34.5177,2496.192
33.61,35.92,2627.0408,24.2514,19.8253,2514.0161
33.58,35.92,2631.2075,28.6999,13.9642,2592.7589
33.58,35.92,2648.8772,28.677,1.004,2581.3622
29.81,35.92,2651.2537,30.7392,-0.506,2553.785
29.87,35.92,2672.6855,35.5822,8.9964,2590.6304
29.46,35.92,2624.4424,30.6505,17.6415,2522.4566
29.95,35.92,2643.3584,38.0787,19.8467,2554.7261
29.52,35.92,2607.6331,36.8698,22.7328,2561.3747
29.49,35.92,2606.3396,29.7385,21.419,2571.0102
29.49,35.92,2598.2302,27.885,22.0074,2524.4992
29.4,35.92,2619.0059,29.8235,12.747,2598.4225
28.04,35.92,2621.6714,29.4778,15.8964,2553.9683
29.43,37.89,2609.2026,26.8837,13.4519,2542.9433
30.04,37.89,2588.644,27.3085,24.3258,2490.882
30.04,37.89,2607.3467,28.7,28.4799,2483.1985
33.64,37.89,2608.1958,30.6195,33.541,2525.1661
33.61,37.89,2593.7227,31.944,37.5114,2535.6223
33.61,37.89,2589.0342,34.9885,35.6535,2603.9818
34.5,37.89,2587.5474,33.2871,35.0544,2571.1355
33.58,37.89,2594.823,33.0429,34.5218,2573.2806
34.5,37.89,2629.8345,30.9663,32.3195,2538.5114
33.61,37.89,2597.3364,32.5,33.9269,2541.4949
34.5,37.89,2613.3081,31.3937,36.7569,2542.4968
34.63,37.89,2615.908,35.2513,39.0153,2562.2225
34.41,41.13,2614.4492,35.4528,38.9443,2598.323
36.58,41.13,2631.8467,35.2513,41.4205,2570.3611
36.65,41.13,2667.5791,32.6779,40.0747,2553.181
37.42,41.13,2687.0125,33.1793,39.9072,2580.9666
39.25,41.13,2671.2861,32.7551,38.6404,2599.4669
39.51,41.13,2696.312,30.1227,38.1047,2575.5165
39.55,41.13,2666.1787,31.2391,37.826,2571.1378
38.0,41.13,2695.0002,29.1909,38.765,2570.7974
38.0,41.13,2701.7446,31.8726,37.4517,2600.12
36.27,41.13,2696.7471,32.2127,39.4457,2651.78
36.46,41.13,2694.2446,31.9332,38.7951,2632.1922
38.59,41.13,2703.6646,32.1051,39.1257,2638.2063
31.81,43.85,2725.1333,35.8224,38.6887,2652.0124
39.47,43.85,2745.8848,29.985,39.6613,2673.9862
39.58,43.85,2750.4072,34.5108,41.3392,2688.2394
39.69,43.85,2781.3359,35.945,42.1827,2761.9918
39.69,43.85,2808.6992,39.9831,45.162,2794.6823
39.65,43.85,2800.9307,41.9846,43.3419,2774.5179
39.65,43.85,2835.4668,40.8082,43.5786,2798.9993
40.4,43.85,2838.5967,43.0524,42.6458,2746.229
40.68,43.85,2897.1287,39.8693,43.6392,2758.0848
38.73,43.85,2885.998,41.3232,43.0526,2799.158
39.76,43.85,2885.0391,41.4709,42.5318,2786.8207
45.86,43.85,2890.9983,41.8493,42.8651,2766.6048
25.01,52.8,2937.3848,39.035,44.4698,2762.1482
34.82,52.8,2952.3213,40.9129,48.4778,2778.625
34.85,52.8,3019.438,40.9825,48.612,2816.9103
34.91,52.8,3028.3008,42.83,47.9023,2838.4014
38.54,52.8,3031.7517,43.1923,47.7997,2870.8868
38.42,52.8,3069.7671,42.6748,47.6643,2938.0216
38.23,52.8,3090.1147,43.4475,47.8355,2929.5372
36.81,52.8,3099.396,44.3526,47.6711,2978.8203
36.81,52.8,3099.4211,42.5086,49.6177,2968.4852
38.27,52.8,3109.1194,45.8781,51.5081,3043.8217
39.79,52.8,3141.6064,43.7291,50.0978,3049.204
39.82,52.8,3133.9858,43.6301,48.3176,3033.8084
37.47,68.79,3180.4417,42.7302,47.9611,3035.4308
36.9,68.79,3203.8745,37.1871,57.3943,3112.9996
37.45,68.79,3232.2139,39.6237,57.1075,3150.3961
39.57,68.79,3253.8433,41.5616,58.6351,3237.9409
39.75,68.79,3305.519,41.3105,58.1899,3268.2065
39.78,68.79,3310.6843,45.1866,58.8939,3267.2715
39.86,68.79,3354.7456,45.8809,59.1236,3300.7796
39.9,68.79,3368.7876,42.7612,58.5434,3335.837
39.96,68.79,3388.2363,47.6694,57.3615,3340.5981
40.04,68.79,3450.293,45.7057,56.0985,3347.7988
43.48,68.79,3426.2986,44.6049,55.9265,3325.4747
43.74,68.79,3454.0825,45.355,55.9019,3373.6531
45.26,78.38,3448.9331,48.5462,57.0505,3359.5978
47.13,78.38,3475.5645,37.8853,75.5531,3432.21
48.49,78.38,3499.3665,45.1543,78.1634,3449.8811
48.49,78.38,3534.3359,43.2353,73.9732,3502.4295
48.73,78.38,3549.8579,45.0606,72.8874,3536.9114
49.09,78.38,3541.207,46.0875,71.8731,3601.6657
49.14,78.38,3581.9883,42.9712,73.2336,3600.8289
50.69,78.38,3579.2686,49.1172,73.0148,3661.5281
54.66,78.38,3605.8037,42.2072,74.1206,3679.7579
54.65,78.38,3650.2729,45.9922,75.6746,3667.0396
55.09,78.38,3652.542,48.9613,80.1845,3752.0314
